Name;Author;Date;Rating Value;Rating Count;Preparation Time;Cooking Time;Category;Cuisine;Ingredients;Ingredients_Raw;Instructions;Cooking Methods;Implements;Number of steps;Servings;Nutrition;URL
Lemon Garlic Chicken;Violet Kenow;28/03/2025;4.6;172.0;10.0;15.0;['Dinner'];['American'];[{'ingredient': 'butter', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'skinless', 'quantity': '3', 'unit': '', 'misc': 'boneless chicken breast halves'}, {'ingredient': 'salt', 'quantity': '1.5', 'unit': 'teaspoons', 'misc': ''}, {'ingredient': 'black pepper', 'quantity': '1.5', 'unit': 'teaspoons', 'misc': 'ground'}, {'ingredient': 'garlic powder', 'quantity': '2', 'unit': 'tablespoons', 'misc': 'divided'}, {'ingredient': 'lemon', 'quantity': '1', 'unit': '', 'misc': 'juiced'}];['2 tablespoons butter', '3 skinless, boneless chicken breast halves', '1.5 teaspoons salt', '1.5 teaspoons ground black pepper', '2 tablespoons garlic powder, divided', '1 lemon, juiced'];['Gather all ingredients.', 'Melt butter in a skillet over medium-high heat. Season chicken with salt and pepper  place in melted butter. Cook chicken, flipping frequently, until browned, about 5 minutes.', 'Sprinkle 1 tablespoon garlic powder over chicken  cook for 2 minutes. Flip and sprinkle remaining 1 tablespoon garlic powder on the second side  cook for 2 minutes.', 'Pour lemon juice over each side of chicken and cook until no longer pink in the center, 5 to 10 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Enjoy!'];[];['skillet', 'thermometer'];5.0;3;{'Calories': '214 kcal', 'Carbohydrates': '5 g', 'Cholesterol': '85 mg', 'Fiber': '1 g', 'Protein': '25 g', 'Saturated Fat': '6 g', 'Sodium': '1275 mg', 'Sugar': '1 g', 'Fat': '11 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/240993/lemon-garlic-chicken/
Chef John's Fried Green Tomatoes;John Mitzewich;28/03/2025;4.7;88.0;15.0;10.0;['Dinner', 'Side Dish'];['Southern'];[{'ingredient': 'green tomato', 'quantity': '4', 'unit': 'slices', 'misc': '12 inch'}, {'ingredient': 'salt', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'cornmeal', 'quantity': '0.75', 'unit': 'cup', 'misc': ''}, {'ingredient': 'bread crumbs', 'quantity': '0.75', 'unit': 'cup', 'misc': ''}, {'ingredient': 'black pepper to taste', 'quantity': '', 'unit': 'freshly', 'misc': 'ground'}, {'ingredient': 'cayenne pepper', 'quantity': '1', 'unit': 'pinch', 'misc': 'or to taste'}, {'ingredient': 'eggs', 'quantity': '2', 'unit': '', 'misc': ''}, {'ingredient': 'milk', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'vegetable oil', 'quantity': '3', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'butter', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'sweet pickle relish', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'mayonnaise', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'sauce', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'or to taste hot'}];['4 (1/2 inch) slices green tomato', '1 teaspoon salt', '0.75 cup cornmeal', '0.75 cup bread crumbs', 'freshly ground black pepper to taste', '1 pinch cayenne pepper, or to taste', '2 eggs', '2 tablespoons milk', '1 cup all-purpose flour', '3 tablespoons vegetable oil', '1 tablespoon butter', '2 tablespoons sweet pickle relish', '2 tablespoons mayonnaise', '2 teaspoons hot sauce, or to taste'];['Place tomato slices on a rack over paper towels. Sprinkle with 1 teaspoon salt. Let slices stand for salt to draw out excess moisture, about 15 minutes.', 'Mix cornmeal and bread crumbs together in a shallow bowl  stir in remaining 1/2 teaspoon salt, black pepper, and cayenne pepper to taste. Beat eggs with milk in a separate bowl. Place flour into a third bowl.', 'Pat tomato slices dry with paper towels. Lay slices one at a time in flour  flip to coat both sides. Let slices rest in flour for about 30 seconds. Remove each slice and dip in egg mixture, then in cornmeal mixture, coating both sides. Coat tomato slices in cornmeal-bread crumb mixture on both sides, pressing into crevices with a fork. Rest tomatoes on rack to let coating set, about 10 minutes.', 'Meanwhile, combine sweet pickle relish, mayonnaise, and hot sauce in a small bowl to make remoulade sauce. Set aside.', 'Place a large nonstick skillet over medium heat  heat vegetable oil with butter until butter melts, bubbles, and sizzles. Fry tomatoes in hot butter-oil mixture until slightly soft and golden brown, using a spatula and a fork to flip, 3 to 4 minutes per side.', 'Transfer fried green tomatoes to a serving platter and serve with remoulade sauce.'];['fry'];['skillet', 'spatula'];6.0;4;{'Calories': '514 kcal', 'Carbohydrates': '65 g', 'Cholesterol': '104 mg', 'Fiber': '3 g', 'Protein': '12 g', 'Saturated Fat': '6 g', 'Sodium': '1248 mg', 'Sugar': '6 g', 'Fat': '23 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/233658/chef-johns-fried-green-tomatoes/
Hawaiian Sausage Skillet;elttlbit78;28/03/2025;4.6;104.0;15.0;20.0;['Dinner'];['Hawaiian'];[{'ingredient': 'vegetable oil', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'or more to taste'}, {'ingredient': 'polish sausage', 'quantity': '1', 'unit': '', 'misc': 'or to taste cut into 1-inch squares 16 ounce'}, {'ingredient': 'onion', 'quantity': '1', 'unit': 'large', 'misc': 'thinly sliced'}, {'ingredient': 'green bell pepper', 'quantity': '1', 'unit': 'large', 'misc': 'cut into 1-inch squares'}, {'ingredient': 'pineapple', 'quantity': '0.75', 'unit': 'fresh', 'misc': 'cored and cut into chunks peeled'}, {'ingredient': 'cornstarch', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'pineapple juice', 'quantity': '0.5', 'unit': 'cup', 'misc': 'or more to taste'}, {'ingredient': 'brown sugar', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': 'or to taste packed'}, {'ingredient': 'cider vinegar', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'soy sauce', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'garlic', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'minced'}];['1 tablespoon vegetable oil, or more to taste', '1 (16 ounce) package Polish sausage, or to taste, cut into 1-inch squares', '1 large onion, thinly sliced', '1 large green bell pepper, cut into 1-inch squares', '0.75 fresh pineapple - peeled, cored, and cut into chunks', '2 tablespoons cornstarch', '0.5 cup pineapple juice, or more to taste', '0.33333334326744 cup packed brown sugar, or to taste', '2 tablespoons cider vinegar', '2 tablespoons soy sauce', '2 teaspoons minced garlic'];['Heat oil in a large skillet over medium heat. Cook and stir sausage, onion, and green bell pepper until vegetables start to become tender, about 8 minutes  add pineapple and cook, stirring occasionally, until the pineapple is hot, about 5 minutes more.', 'Beat pineapple juice and cornstarch together in a bowl using a whisk. Stir brown sugar, cider vinegar, soy sauce, and minced garlic with the pineapple juice until the sugar dissolves into the liquid  pour over the sausage mixture and cook until the sauce thickens, 5 to 8 minutes.'];[];['whisk', 'skillet'];2.0;6;{'Calories': '450 kcal', 'Carbohydrates': '45 g', 'Cholesterol': '54 mg', 'Fiber': '3 g', 'Protein': '11 g', 'Saturated Fat': '11 g', 'Sodium': '930 mg', 'Sugar': '34 g', 'Fat': '26 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/240397/hawaiian-sausage-skillet/
My Grandma's Shoofly Pie;D Stultz;28/03/2025;4.4;109.0;15.0;45.0;['Dessert'];['American'];[{'ingredient': 'molasses', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'water', 'quantity': '0.75', 'unit': 'cup', 'misc': 'hot'}, {'ingredient': 'baking soda', 'quantity': '0.75', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'egg', 'quantity': '1', 'unit': '', 'misc': 'beaten'}, {'ingredient': 'shell', 'quantity': '1', 'unit': 'pie', 'misc': '9 inch'}, {'ingredient': 'all-purpose flour', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'brown sugar', 'quantity': '1', 'unit': 'cup', 'misc': 'packed'}, {'ingredient': 'shortening', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}];['1 cup molasses', '0.75 cup hot water', '0.75 teaspoon baking soda', '1 egg, beaten', '1 (9 inch) pie shell', '1.5 cups all-purpose flour', '1 cup packed brown sugar', '0.25 cup shortening'];['Gather the ingredients. Preheat the oven to 400 degrees F (200 degrees C).', 'Combine molasses, hot water, and baking soda together in a medium bowl  whisk in beaten egg until well combined. Pour mixture into deep dish pie shell.', 'Combine flour and brown sugar in a separate medium bowl  cut in shortening until mixture resembles coarse crumbs.', 'Sprinkle on top of pie filling.', 'Place pie on a cookie sheet and bake in the preheated oven for 15 minutes. Lower temperature to 350 degrees F (175 degrees C)  bake for an additional 30 minutes.'];['bake'];['whisk', 'oven'];5.0;['8', '1 (9-inch) pie'];{'Calories': '455 kcal', 'Carbohydrates': '83 g', 'Cholesterol': '23 mg', 'Fiber': '1 g', 'Protein': '4 g', 'Saturated Fat': '3 g', 'Sodium': '253 mg', 'Sugar': '50 g', 'Fat': '13 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/15853/my-grandmas-shoo-fly-pie/
Blueberry Cheesecake;JJOHN32;28/03/2025;4.7;119.0;20.0;60.0;['Dessert'];['American'];[{'ingredient': 'graham cracker crumbs', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'melted butter', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'cream cheese', 'quantity': '2', 'unit': '', 'misc': 'softened 8 ounce'}, {'ingredient': 'sour cream', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '0.75', 'unit': 'cup', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'vanilla extract', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'eggs', 'quantity': '4', 'unit': 'large', 'misc': ''}, {'ingredient': 'frozen blueberries', 'quantity': '2', 'unit': 'cups', 'misc': 'dry pack'}, {'ingredient': 'blueberry jelly', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': ''}];['1 cup graham cracker crumbs', '0.25 cup melted butter', '2 tablespoons white sugar', '2 (8 ounce) packages cream cheese, softened', '1 cup sour cream', '0.75 cup white sugar', '2 tablespoons all-purpose flour', '1 teaspoon vanilla extract', '4 large eggs', '2 cups frozen blueberries, dry pack', '0.33333334326744 cup blueberry jelly'];['Preheat the oven to 325 degree F (165 degrees C).', 'Mix graham crumbs, melted butter, and 2 tablespoons sugar in a bowl until well combined. Pat mixture into the bottom of a 9-inch springform pan.', 'Mash cream cheese in a mixing bowl until soft and creamy. Gradually beat in sour cream, 3/4 cup sugar, flour, and vanilla. Beat in eggs, one at a time. Pour mixture onto crumb crust.', 'Bake in the preheated oven until firm to the touch, about 1 hour.', 'Place baked cheesecake in the refrigerator until thoroughly chilled, about 4 hours.', 'Remove cheesecake from the pan by loosening the edges with a knife and opening the springform latch  transfer to a serving platter. Place frozen blueberries on top. Melt jelly in a saucepan over low heat  spoon over blueberries to glaze. Chill in the refrigerator until ready to serve.'];['bake'];['pan', 'knife', 'oven', 'saucepan'];6.0;['12', '1 (9-inch) cheesecake'];{'Calories': '356 kcal', 'Carbohydrates': '32 g', 'Cholesterol': '122 mg', 'Fiber': '1 g', 'Protein': '6 g', 'Saturated Fat': '14 g', 'Sodium': '216 mg', 'Sugar': '24 g', 'Fat': '23 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/7934/blueberry-cheesecake/
Orange Creamsicle Protein Shake;Yoly;28/03/2025;4.8;10.0;5.0;0.0;['Breakfast', 'Drink'];['American'];[{'ingredient': 'orange', 'quantity': '1', 'unit': '', 'misc': 'zested and peeled'}, {'ingredient': 'soy milk', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'greek yogurt', 'quantity': '1', 'unit': 'container', 'misc': '53 ounce plain'}, {'ingredient': 'cubes', 'quantity': '5', 'unit': 'ice', 'misc': ''}, {'ingredient': 'vanilla protein powder', 'quantity': '1', 'unit': 'scoop', 'misc': ''}, {'ingredient': 'vanilla extract', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}];['1 orange, zested and peeled', '1 cup soy milk', '1 (5.3 ounce) container plain Greek yogurt', '5 ice cubes', '1 scoop vanilla protein powder', '1 teaspoon vanilla extract'];['Gather all ingredients.', 'Combine orange segments, zest, soy milk, yogurt, ice, protein powder, and vanilla in a blender.', 'Blend until smooth.'];[];['blender'];3.0;1;{'Calories': '510 kcal', 'Carbohydrates': '27 g', 'Cholesterol': '45 mg', 'Fiber': '2 g', 'Protein': '54 g', 'Saturated Fat': '9 g', 'Sodium': '433 mg', 'Sugar': '17 g', 'Fat': '20 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/278529/orange-creamsicle-protein-shake/
French Toast Sticks;cole332002;28/03/2025;4.7;18.0;10.0;10.0;['Breakfast'];['American'];[{'ingredient': 'eggs', 'quantity': '2', 'unit': 'large', 'misc': ''}, {'ingredient': 'powdered sugar', 'quantity': '0.5', 'unit': 'cup', 'misc': ''}, {'ingredient': 'milk', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}, {'ingredient': 'maple syrup', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'brown sugar', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'cinnamon', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': 'ground'}, {'ingredient': 'white bread', 'quantity': '6', 'unit': 'slices', 'misc': 'cut into thirds'}, {'ingredient': 'cooking spray', 'quantity': '', 'unit': 'nonstick', 'misc': ''}];['2 large eggs', '0.5 cup powdered sugar', '0.25 cup milk', '2 tablespoons maple syrup', '1 teaspoon brown sugar', '0.25 teaspoon ground cinnamon', '6 slices white bread, cut into thirds', 'nonstick cooking spray'];['Gather all ingredients.', 'Mix eggs, powdered sugar, milk, maple syrup, brown sugar, and cinnamon together in a bowl with a fork until well blended.', 'Dip each bread stick into the egg mixture.', 'Coat a skillet with nonstick spray and heat over medium heat. Place sticks in the hot skillet and cook until brown, 2 to 3 minutes  turn over and cook until browned on other side, 2 to 3 minutes more.', 'Repeat with the second batch.'];[];['skillet'];5.0;['6', '18 sticks'];{'Calories': '167 kcal', 'Carbohydrates': '30 g', 'Cholesterol': '63 mg', 'Fiber': '1 g', 'Protein': '5 g', 'Saturated Fat': '1 g', 'Sodium': '182 mg', 'Sugar': '16 g', 'Fat': '3 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/280405/french-toast-sticks/
Sheet Pan Pancakes;Houstonchef;28/03/2025;4.8;26.0;10.0;15.0;['Breakfast'];['American'];[{'ingredient': 'spray', 'quantity': '', 'unit': 'cooking', 'misc': ''}, {'ingredient': 'pancake mix', 'quantity': '4', 'unit': 'cups', 'misc': 'such as bisquick®'}, {'ingredient': 'eggs', 'quantity': '4', 'unit': 'large', 'misc': ''}, {'ingredient': 'whole milk', 'quantity': '2', 'unit': 'cups', 'misc': ''}, {'ingredient': 'strawberries', 'quantity': '1', 'unit': 'cup', 'misc': 'sliced'}, {'ingredient': 'blueberries', 'quantity': '1', 'unit': 'cup', 'misc': ''}];['cooking spray', '4 cups pancake mix (such as Bisquick®)', '4 large eggs', '2 cups whole milk', '1 cup sliced strawberries', '1 cup blueberries'];['Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C). Generously spray a sheet pan with cooking spray.', 'Mix pancake mix, milk, and eggs together in a large bowl  let sit for 5 minutes.', 'Pour into the prepared sheet pan. Top with strawberries and blueberries.', 'Bake in the preheated oven until the center of the pancake is springy to the touch and a toothpick inserted in the middle comes out clean, about 15 minutes.'];['bake'];['pan', 'oven'];4.0;8;{'Calories': '329 kcal', 'Carbohydrates': '58 g', 'Cholesterol': '99 mg', 'Fiber': '1 g', 'Protein': '11 g', 'Saturated Fat': '2 g', 'Sodium': '1027 mg', 'Sugar': '6 g', 'Fat': '6 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/283096/sheet-pan-pancakes/
Basque Cheesecake;John Mitzewich;28/03/2025;4.9;47.0;15.0;50.0;['Dessert'];['Spanish'];[{'ingredient': 'soft unsalted butter', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'or as needed'}, {'ingredient': 'paper', 'quantity': '', 'unit': 'parchment', 'misc': ''}, {'ingredient': 'cream cheese', 'quantity': '3', 'unit': '', 'misc': 'softened 8 ounce'}, {'ingredient': 'white sugar', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '3', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'fine salt', 'quantity': '0.5', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'vanilla extract', 'quantity': '0.5', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'eggs', 'quantity': '4', 'unit': 'jumbo', 'misc': 'at room temperature'}, {'ingredient': 'heavy cream', 'quantity': '1.25', 'unit': 'cups', 'misc': ''}];['1 tablespoon soft unsalted butter, or as needed', 'parchment paper', '3 (8 ounce) packages cream cheese, softened', '1 cup white sugar', '3 tablespoons all-purpose flour', '0.5 teaspoon fine salt', '0.5 teaspoon vanilla extract', '4 jumbo eggs, at room temperature', '1.25 cups heavy cream'];['Preheat the oven to 400 degrees F (200 degrees C).', 'Butter a 9-inch cake pan. Cut a sheet of parchment paper large enough to line the inside of the pan by a few extra inches. Butter the paper and press it into the pan, flattening any major creases. Trim away any excess paper from the sides until you have an inch or two of overhang.', 'Combine cream cheese, sugar, flour, and salt in a bowl  stir and smear together with a spatula until very smooth and creamy.', 'Add vanilla and 1 egg  whisk to combine. Whisk in remaining eggs, one at a time. Pour in heavy cream and mix until smooth.', 'Pour batter into the prepared pan. Tap the pan against the counter to burst any excess air bubbles.', 'Bake in the preheated oven until puffed, very well browned, and nearly burned on the edges, 50 to 55 minutes. Increase oven temperature to 425 degrees F (220 degrees C) for the last 10 minutes.', 'Let cheesecake cool to room temperature, at least 25 minutes. Lift out onto a plate and peel back parchment paper, using a knife or spatula if needed. Refrigerate until thoroughly chilled, 4 hours to overnight.'];['bake'];['spatula', 'knife', 'pan', 'oven', 'whisk'];7.0;['10', '1 (9-inch) cheesecake'];{'Calories': '467 kcal', 'Carbohydrates': '25 g', 'Cholesterol': '204 mg', 'Fiber': '0 g', 'Protein': '9 g', 'Saturated Fat': '23 g', 'Sodium': '359 mg', 'Sugar': '20 g', 'Fat': '38 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/270713/burnt-basque-cheesecake/
Best No-Bake Cheesecake;Debbie Clark;28/03/2025;4.7;422.0;30.0;0.0;['Dessert'];['American'];[{'ingredient': 'graham cracker crumbs', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'brown sugar', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': 'packed'}, {'ingredient': 'cinnamon', 'quantity': '0.5', 'unit': 'teaspoon', 'misc': 'ground'}, {'ingredient': 'butter', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': 'melted'}, {'ingredient': 'cream cheese', 'quantity': '2', 'unit': '', 'misc': '8 ounce'}, {'ingredient': 'lemon juice', 'quantity': '2', 'unit': 'teaspoons', 'misc': ''}, {'ingredient': 'heavy whipping cream', 'quantity': '1', 'unit': 'pint', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': ''}, {'ingredient': 'cherry pie filling', 'quantity': '1', 'unit': '', 'misc': '21 ounce'}];['1.5 cups graham cracker crumbs', '0.33333334326744 cup packed brown sugar', '0.5 teaspoon ground cinnamon', '0.33333334326744 cup butter, melted', '2 (8 ounce) packages cream cheese', '2 teaspoons lemon juice', '1 pint heavy whipping cream', '0.33333334326744 cup white sugar', '1 (21 ounce) can cherry pie filling'];['Stir graham cracker crumbs, brown sugar, and cinnamon together in a small bowl  add melted butter and mix well. Press into the bottom of an 8- or 10-inch springform pan. Chill until firm.', 'Beat cream cheese and lemon juice together in a medium bowl until soft. Add whipping cream and beat with an electric mixer until the batter becomes thick. Add sugar and continue to beat until stiff.', 'Pour into chilled crust, and top with pie filling or fresh fruit. Chill for several hours or overnight.', 'Just before serving, remove the sides of the springform pan.'];[];['pan', 'mixer'];4.0;['12', '1 (10-inch) cheesecake'];{'Calories': '459 kcal', 'Carbohydrates': '36 g', 'Cholesterol': '109 mg', 'Fiber': '1 g', 'Protein': '5 g', 'Saturated Fat': '21 g', 'Sodium': '236 mg', 'Sugar': '15 g', 'Fat': '34 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/17410/best-no-bake-cheesecake/
No-Bake Cheesecake with Cool Whip;cafecook;28/03/2025;4.8;79.0;10.0;0.0;['Dessert'];['American'];[{'ingredient': 'cream cheese', 'quantity': '2', 'unit': '', 'misc': 'softened to room temperature 8 ounce'}, {'ingredient': 'white sugar', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'vanilla extract', 'quantity': '3', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'lemon extract', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'frozen whipped topping', 'quantity': '1', 'unit': 'container', 'misc': 'thawed 8 ounce such as cool whip®'}, {'ingredient': 'graham cracker crust', 'quantity': '1', 'unit': 'prepared', 'misc': '9 inch'}, {'ingredient': 'strawberry pie filling', 'quantity': '1', 'unit': '', 'misc': '21 ounce'}];['2 (8 ounce) packages cream cheese, softened to room temperature', '1 cup white sugar', '3 tablespoons vanilla extract', '1 teaspoon lemon extract', '1 (8 ounce) container frozen whipped topping (such as Cool Whip®), thawed', '1 (9 inch) prepared graham cracker crust', '1 (21 ounce) can strawberry pie filling'];['Gather all ingredients.', 'Combine cream cheese, sugar, vanilla, and lemon extract in a large bowl  beat with an electric mixer until smooth and creamy.', 'Fold in whipped topping.', 'Pour mixture into graham cracker crust and smooth evenly.', 'Top with pie filling and refrigerate until firm, 2 to 3 hours.', 'Slice and enjoy!'];[];['mixer'];6.0;['10', '1 (9-inch) cheesecake'];{'Calories': '493 kcal', 'Carbohydrates': '57 g', 'Cholesterol': '49 mg', 'Fiber': '1 g', 'Protein': '4 g', 'Saturated Fat': '15 g', 'Sodium': '286 mg', 'Sugar': '42 g', 'Fat': '25 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/276072/no-bake-cheesecake-with-cool-whip/
Strawberry Cheesecake;Kathy Higgins;28/03/2025;4.8;319.0;20.0;50.0;['Dessert'];['American'];[{'ingredient': 'graham cracker crumbs', 'quantity': '1.25', 'unit': 'cups', 'misc': ''}, {'ingredient': 'butter', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': 'melted'}, {'ingredient': 'white sugar', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}, {'ingredient': 'cinnamon', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'ground'}, {'ingredient': 'frozen sweetened strawberries', 'quantity': '2', 'unit': '', 'misc': 'thawed and drained 10 ounce sliced'}, {'ingredient': 'cornstarch', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'cream cheese', 'quantity': '3', 'unit': '', 'misc': 'softened 8 ounce'}, {'ingredient': 'sweetened condensed milk', 'quantity': '1', 'unit': '', 'misc': '14 ounce'}, {'ingredient': 'lemon juice', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}, {'ingredient': 'vanilla extract', 'quantity': '0.5', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'eggs', 'quantity': '3', 'unit': '', 'misc': ''}, {'ingredient': 'water', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}];['1.25 cups graham cracker crumbs', '0.33333334326744 cup butter, melted', '0.25 cup white sugar', '2 teaspoons ground cinnamon', '2 (10 ounce) packages frozen sweetened sliced strawberries, thawed and drained', '1 tablespoon cornstarch', '3 (8 ounce) packages cream cheese, softened', '1 (14 ounce) can sweetened condensed milk', '0.25 cup lemon juice', '0.5 teaspoon vanilla extract', '3 eggs', '1 tablespoon water'];['Gather all ingredients.', 'To make the crust: Combine graham cracker crumbs, butter, sugar, and cinnamon in a bowl  mix well. Press onto the bottom of an ungreased 9-inch springform pan. Place in the refrigerator to chill for 30 minutes. Preheat the oven to 300 degrees F (150 degrees C).', 'To make the filling: Place strawberries and cornstarch into a blender  cover and puree until smooth.', 'Pour strawberry sauce into a saucepan and bring to a boil over high heat. Boil and stir until sauce is thick and shiny, about 2 minutes. Set aside 1/3 cup strawberry sauce  cool. Cover and refrigerate remaining sauce for serving.', 'Beat cream cheese in a mixing bowl with an electric mixer until light and fluffy  gradually beat in condensed milk. Mix in lemon juice and vanilla extract, then beat in eggs on low speed until just combined.', 'Pour 1/2 of the cream cheese mixture over crust  drop 1/2 of the reserved strawberry sauce by 1/2 teaspoonfuls on cream cheese layer.', 'Carefully spoon remaining cream cheese mixture over sauce  drop remaining strawberry sauce by 1/2 teaspoonfuls on top.', 'Cut through the top layer only with a knife to swirl strawberry sauce.', 'Bake in the preheated oven until the center is almost set, 45 to 50 minutes.', 'Cool on a wire rack for 10 minutes. Carefully run a knife around the edge of the pan to loosen  cool for 1 hour at room temperature. Refrigerate at least 4 hours to overnight before serving.', 'Serve reserved strawberry sauce with cheesecake. If sauce is too thick, stir in water.'];['bake', 'boil'];['saucepan', 'mixer', 'blender', 'knife', 'pan', 'oven'];11.0;['12', '1 (9-inch) cheesecake'];{'Calories': '459 kcal', 'Carbohydrates': '42 g', 'Cholesterol': '133 mg', 'Fiber': '1 g', 'Protein': '9 g', 'Saturated Fat': '18 g', 'Sodium': '315 mg', 'Sugar': '34 g', 'Fat': '30 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/222588/strawberry-cheesecake/
